repo,file_path,language,framework,matched_keywords,html_url
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/UIColor+HEX.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/UIColor+HEX.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/UIControl.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/UIControl.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/UIFont+Style.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/UIFont+Style.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/UIFont+dynamicSize.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/UIFont+dynamicSize.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/UIImage+Drawing.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/UIImage+Drawing.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/UIImage+Monochrome.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/UIImage+Monochrome.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/UIImage.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/UIImage.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/UIImageView+Shimmered.swift,Swift,UIKit,import UIKit; UIImageView,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/UIImageView+Shimmered.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/UIRefreshControl+ProgramaticallyBeginRefresh.swift,Swift,UIKit,import UIKit; UITableView,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/UIRefreshControl+ProgramaticallyBeginRefresh.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/UIResponder.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/UIResponder.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/UIScrollView+ScrollToPage.swift,Swift,Mixed (SwiftUI + UIKit),View {; import UIKit; UIScrollView,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/UIScrollView+ScrollToPage.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/UIStackView+Manage.swift,Swift,Mixed (SwiftUI + UIKit),View {; import UIKit; UIView; UIStackView,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/UIStackView+Manage.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/UISwitch+CustomSize.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/UISwitch+CustomSize.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/UITableView+Reuse.swift,Swift,Mixed (SwiftUI + UIKit),View {; import UIKit; UIView; UITableView,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/UITableView+Reuse.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/UITableView.swift,Swift,Mixed (SwiftUI + UIKit),View {; import UIKit; UIView; UITableView,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/UITableView.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/UITableViewCell+ReorderColor.swift,Swift,UIKit,import UIKit; UITableView; UIImageView,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/UITableViewCell+ReorderColor.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/UITableViewCell.swift,Swift,UIKit,import UIKit; UITableView,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/UITableViewCell.swift
