repo,file_path,language,framework,matched_keywords,html_url
android/sunflower@views,app/src/main/res/drawable/ic_plant_list_inactive.xml,XML,Android Views,xmlns:android=,https://github.com/android/sunflower/blob/views/app/src/main/res/drawable/ic_plant_list_inactive.xml
android/sunflower@views,app/src/main/res/drawable/ic_plus.xml,XML,Android Views,xmlns:android=,https://github.com/android/sunflower/blob/views/app/src/main/res/drawable/ic_plus.xml
android/sunflower@views,app/src/main/res/drawable/plant_list_tab_selector.xml,XML,Android Views,xmlns:android=,https://github.com/android/sunflower/blob/views/app/src/main/res/drawable/plant_list_tab_selector.xml
android/sunflower@views,app/src/main/res/drawable/tab_icon_color_selector.xml,XML,Android Views,xmlns:android=,https://github.com/android/sunflower/blob/views/app/src/main/res/drawable/tab_icon_color_selector.xml
android/sunflower@views,app/src/main/res/layout/activity_garden.xml,XML,Android Views,xmlns:android=; android:layout_width,https://github.com/android/sunflower/blob/views/app/src/main/res/layout/activity_garden.xml
android/sunflower@views,app/src/main/res/layout/fragment_gallery.xml,XML,Android Views,xmlns:android=; android:layout_width,https://github.com/android/sunflower/blob/views/app/src/main/res/layout/fragment_gallery.xml
android/sunflower@views,app/src/main/res/layout/fragment_garden.xml,XML,Android Views,xmlns:android=; android:layout_width; <LinearLayout; <FrameLayout; <TextView,https://github.com/android/sunflower/blob/views/app/src/main/res/layout/fragment_garden.xml
android/sunflower@views,app/src/main/res/layout/fragment_plant_detail.xml,XML,Android Views,xmlns:android=; android:layout_width; <TextView; <ImageView,https://github.com/android/sunflower/blob/views/app/src/main/res/layout/fragment_plant_detail.xml
android/sunflower@views,app/src/main/res/layout/fragment_plant_list.xml,XML,Android Views,xmlns:android=; android:layout_width; <FrameLayout,https://github.com/android/sunflower/blob/views/app/src/main/res/layout/fragment_plant_list.xml
android/sunflower@views,app/src/main/res/layout/fragment_view_pager.xml,XML,Android Views,xmlns:android=; android:layout_width; <TextView,https://github.com/android/sunflower/blob/views/app/src/main/res/layout/fragment_view_pager.xml
android/sunflower@views,app/src/main/res/layout/list_item_garden_planting.xml,XML,Android Views,xmlns:android=; android:layout_width; <TextView; <ImageView; android.view,https://github.com/android/sunflower/blob/views/app/src/main/res/layout/list_item_garden_planting.xml
android/sunflower@views,app/src/main/res/layout/list_item_photo.xml,XML,Android Views,xmlns:android=; android:layout_width; <TextView; <ImageView; android.view,https://github.com/android/sunflower/blob/views/app/src/main/res/layout/list_item_photo.xml
android/sunflower@views,app/src/main/res/layout/list_item_plant.xml,XML,Android Views,xmlns:android=; android:layout_width; <TextView; <ImageView; android.view,https://github.com/android/sunflower/blob/views/app/src/main/res/layout/list_item_plant.xml
android/sunflower@views,app/src/main/res/menu/menu_plant_detail.xml,XML,Android Views,xmlns:android=,https://github.com/android/sunflower/blob/views/app/src/main/res/menu/menu_plant_detail.xml
android/sunflower@views,app/src/main/res/menu/menu_plant_list.xml,XML,Android Views,xmlns:android=,https://github.com/android/sunflower/blob/views/app/src/main/res/menu/menu_plant_list.xml
android/sunflower@views,app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml,XML,Android Views,xmlns:android=,https://github.com/android/sunflower/blob/views/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml
android/sunflower@views,app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml,XML,Android Views,xmlns:android=,https://github.com/android/sunflower/blob/views/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml
android/sunflower@views,app/src/main/res/navigation/nav_garden.xml,XML,Android Views,xmlns:android=,https://github.com/android/sunflower/blob/views/app/src/main/res/navigation/nav_garden.xml
